pcode1,punishlev,take20,dictatorallocation
"C010126",,0,-20
"C010126",0,0,25
"C010126",,0,-5
"C010126",,0,-15
"C010126",0,0,0
"C010126",0,0,20
"C010126",,0,-10
"C010126",0,0,15
"C010126",0,0,30
"C010126",0,0,10
"C010126",0,0,35
"C010126",0,0,5
"C010126",0,0,40
"C030429",0,0,35
"C030429",,0,-5
"C030429",0,0,30
"C030429",0,0,20
"C030429",0,0,5
"C030429",0,0,40
"C030429",0,0,10
"C030429",,0,-15
"C030429",0,0,0
"C030429",0,0,25
"C030429",,0,-10
"C030429",,0,-20
"C030429",0,0,15
"C042521",,0,-10
"C042521",,0,-20
"C042521",,0,-15
"C042521",0,0,35
"C042521",5,0,10
"C042521",3,0,25
"C042521",0,0,40
"C042521",,0,-5
"C042521",0,0,30
"C042521",5,0,0
"C042521",5,0,5
"C042521",5,0,15
"C042521",4,0,20
"C051037",20,0,0
"C051037",,0,-10
"C051037",,0,-20
"C051037",,0,-15
"C051037",20,0,5
"C051037",20,0,10
"C051037",20,0,15
"C051037",15,0,20
"C051037",,0,-5
"C051037",0,0,35
"C051037",10,0,25
"C051037",0,0,40
"C051037",0,0,30
"C061015",,0,-10
"C061015",,0,-15
"C061015",,0,-20
"C061015",0,0,0
"C061015",0,0,10
"C061015",0,0,35
"C061015",0,0,20
"C061015",0,0,30
"C061015",5,0,5
"C061015",0,0,25
"C061015",0,0,15
"C061015",,0,-5
"C061015",0,0,40
"C103420",5,1,10
"C103420",5,1,5
"C103420",10,1,0
"C103420",10,1,-10
"C103420",15,1,40
"C103420",20,1,-20
"C103420",10,1,20
"C103420",10,1,-15
"C103420",5,1,-5
"C103420",10,1,30
"C103420",0,1,15
"C103420",15,1,25
"C103420",10,1,35
"C106707",0,1,20
"C106707",3,1,30
"C106707",2,1,-5
"C106707",0,1,10
"C106707",5,1,40
"C106707",4,1,35
"C106707",4,1,-15
"C106707",3,1,-10
"C106707",0,1,15
"C106707",0,1,5
"C106707",1,1,0
"C106707",5,1,-20
"C106707",0,1,25
"C108919",0,1,20
"C108919",0,1,35
"C108919",0,1,40
"C108919",0,1,30
"C108919",1,1,-10
"C108919",1,1,-15
"C108919",0,1,25
"C108919",3,1,-20
"C108919",0,1,-5
"C108919",0,1,10
"C108919",0,1,5
"C108919",0,1,15
"C108919",0,1,0
"C115622",0,1,20
"C115622",0,1,35
"C115622",0,1,-10
"C115622",0,1,-15
"C115622",0,1,5
"C115622",0,1,0
"C115622",0,1,10
"C115622",0,1,40
"C115622",0,1,30
"C115622",0,1,25
"C115622",0,1,15
"C115622",0,1,-20
"C115622",0,1,-5
"C130324",0,0,40
"C130324",0,0,20
"C130324",0,0,25
"C130324",0,0,35
"C130324",,0,-20
"C130324",0,0,0
"C130324",0,0,5
"C130324",,0,-15
"C130324",0,0,15
"C130324",0,0,10
"C130324",,0,-10
"C130324",0,0,30
"C130324",,0,-5
"C131335",,0,-20
"C131335",1,0,25
"C131335",5,0,0
"C131335",5,0,5
"C131335",3,0,15
"C131335",3,0,10
"C131335",,0,-10
"C131335",,0,-5
"C131335",0,0,40
"C131335",1,0,20
"C131335",,0,-15
"C131335",0,0,35
"C131335",0,0,30
"C141101",0,0,15
"C141101",,0,-15
"C141101",0,0,10
"C141101",0,0,35
"C141101",,0,-20
"C141101",,0,-5
"C141101",0,0,5
"C141101",,0,-10
"C141101",0,0,20
"C141101",0,0,40
"C141101",0,0,30
"C141101",0,0,0
"C141101",0,0,25
"C141936",,0,-5
"C141936",10,0,20
"C141936",10,0,25
"C141936",,0,-20
"C141936",,0,-10
"C141936",5,0,35
"C141936",,0,-15
"C141936",5,0,30
"C141936",15,0,10
"C141936",20,0,0
"C141936",15,0,15
"C141936",0,0,40
"C141936",20,0,5
"C143548",0,1,40
"C143548",0,1,15
"C143548",7,1,-20
"C143548",0,1,30
"C143548",0,1,10
"C143548",3,1,-10
"C143548",0,1,20
"C143548",5,1,-15
"C143548",2,1,0
"C143548",0,1,25
"C143548",0,1,35
"C143548",1,1,5
"C143548",2,1,-5
"C146051",0,1,25
"C146051",1,1,-15
"C146051",2,1,-20
"C146051",0,1,40
"C146051",1,1,-5
"C146051",0,1,20
"C146051",0,1,35
"C146051",0,1,10
"C146051",0,1,0
"C146051",0,1,30
"C146051",1,1,-10
"C146051",0,1,5
"C146051",0,1,15
"C161511",30,0,30
"C161511",10,0,10
"C161511",0,0,0
"C161511",,0,-5
"C161511",0,0,25
"C161511",0,0,5
"C161511",,0,-20
"C161511",0,0,15
"C161511",20,0,20
"C161511",,0,-15
"C161511",,0,-10
"C161511",0,0,35
"C161511",0,0,40
"C178332",5,0,10
"C178332",0,0,0
"C178332",,0,-10
"C178332",10,0,15
"C178332",,0,-15
"C178332",5,0,20
"C178332",0,0,35
"C178332",,0,-5
"C178332",0,0,5
"C178332",0,0,40
"C178332",,0,-20
"C178332",5,0,25
"C178332",10,0,30
"C181640",3,0,15
"C181640",,0,-5
"C181640",0,0,40
"C181640",,0,-20
"C181640",0,0,35
"C181640",1,0,25
"C181640",,0,-15
"C181640",6,0,0
"C181640",2,0,20
"C181640",4,0,10
"C181640",5,0,5
"C181640",,0,-10
"C181640",0,0,30
"C186223",15,1,20
"C186223",8,1,10
"C186223",10,1,-10
"C186223",13,1,-15
"C186223",5,1,5
"C186223",15,1,35
"C186223",5,1,15
"C186223",10,1,25
"C186223",10,1,30
"C186223",5,1,0
"C186223",15,1,-20
"C186223",8,1,40
"C186223",15,1,-5
"C187719",4,0,15
"C187719",10,0,10
"C187719",2,0,0
"C187719",,0,-20
"C187719",4,0,35
"C187719",3,0,5
"C187719",3,0,30
"C187719",5,0,40
"C187719",,0,-10
"C187719",5,0,20
"C187719",1,0,25
"C187719",,0,-15
"C187719",,0,-5
"C190328",0,0,35
"C190328",,0,-20
"C190328",0,0,10
"C190328",5,0,15
"C190328",,0,-5
"C190328",0,0,25
"C190328",,0,-15
"C190328",30,0,0
"C190328",0,0,30
"C190328",,0,-10
"C190328",10,0,5
"C190328",0,0,40
"C190328",0,0,20
"C191220",30,0,0
"C191220",5,0,35
"C191220",0,0,40
"C191220",,0,-10
"C191220",,0,-20
"C191220",18,0,10
"C191220",20,0,5
"C191220",,0,-15
"C191220",8,0,25
"C191220",15,0,15
"C191220",6,0,30
"C191220",,0,-5
"C191220",10,0,20
"C191319",0,0,40
"C191319",1,0,20
"C191319",,0,-10
"C191319",1,0,35
"C191319",,0,-5
"C191319",5,0,10
"C191319",1,0,25
"C191319",,0,-15
"C191319",1,0,15
"C191319",10,0,0
"C191319",1,0,30
"C191319",,0,-20
"C191319",5,0,5
"C201018",,0,-20
"C201018",0,0,40
"C201018",5,0,5
"C201018",0,0,0
"C201018",5,0,15
"C201018",0,0,30
"C201018",,0,-10
"C201018",0,0,35
"C201018",,0,-5
"C201018",,0,-15
"C201018",0,0,10
"C201018",0,0,25
"C201018",10,0,20
"C221309",0,0,35
"C221309",0,0,30
"C221309",,0,-5
"C221309",0,0,15
"C221309",,0,-10
"C221309",0,0,10
"C221309",0,0,25
"C221309",,0,-15
"C221309",0,0,20
"C221309",,0,-20
"C221309",0,0,0
"C221309",0,0,5
"C221309",0,0,40
"C226621",7,1,-15
"C226621",5,1,-10
"C226621",5,1,0
"C226621",4,1,20
"C226621",0,1,40
"C226621",1,1,35
"C226621",2,1,30
"C226621",5,1,15
"C226621",3,1,25
"C226621",5,1,-5
